[55.8243;49.1123]	line 583143 337
[55.8237;49.1045]	line 534383 338
[55.8263;49.1013]	line 534388 339
[55.825;49.1088]	line 534382 340
[55.8263;49.1123]	line 534523 341
[55.8262;49.1147]	line 534524 342
[55.8277;49.1274]	line 534492 343
[55.8335;49.1229]	line 534489 344
[55.8355;49.1287]	line 534559 345
[55.7818;49.1485]	line 534337 346
[55.7711;49.1349]	line 534493 347
[55.7701;49.1319]	line 534497 348
[55.7789;49.1296]	line 534495 349
[55.7785;49.1143]	line 534271 350
[55.7707;49.1114]	line 534543 351
[55.7672;49.1042]	line 534498 352
[55.7767;49.1059]	line 534272 353
[55.7781;49.1107]	line 534275 354
[55.779;49.1099]	line 534277 355
[55.7804;49.1139]	line 534278 356
[55.782;49.114]	line 534276 357
[55.7831;49.1139]	line 534273 358
[55.7891;49.1049]	line 534510 359
[55.7897;49.137]	line 534267 360
[55.7988;49.1302]	line 534270 361
[55.7977;49.1238]	line 534505 362
[55.7967;49.1211]	line 534507 363
[55.8271;49.1536]	line 534555 364
[55.8201;49.1467]	line 534602 365
[55.8201;49.1467]	line 534601 366
[55.8163;49.1351]	line 534605 367
[55.8202;49.1327]	line 534518 368
[55.8189;49.1382]	line 534520 369
[55.82;49.1416]	line 534519 370
[55.8224;49.1468]	line 534603 371
[55.8234;49.1459]	line 534604 372
[55.8244;49.147]	line 534525 373
[55.826;49.1488]	line 534607 374
[55.8317;49.1495]	line 534550 375
[55.8287;49.135]	line 534527 376
[55.8282;49.1318]	line 534490 377
[55.8378;49.1292]	line 534558 378
[55.8369;49.1233]	line 534557 379
[55.8687;49.0892]	line 534330 380
[55.837;49.1585]	line 534562 381
[55.8369;49.1552]	line 534567 382
[55.8376;49.1514]	line 534566 383
[55.8391;49.1464]	line 534549 384
[55.8385;49.1455]	line 534548 385
[55.8355;49.1504]	line 534552 386
[55.8351;49.152]	line 534553 387
[55.8318;49.1513]	line 534526 388
[55.8296;49.1538]	line 534554 389
[55.8277;49.1484]	line 534556 390
[55.8345;49.1326]	line 534491 391
[55.8405;49.1321]	line 534561 392
[55.9497;49.5026]	line 583094 393
[55.9524;49.4981]	line 583095 394
[56.004;49.5169]	line 583099 395
[55.9096;49.227]	line 534454 396
[55.8711;49.0878]	line 534326 397
[55.8208;49.1036]	line 534386 398
[55.8199;49.1063]	line 534606 399
[55.8186;49.1082]	line 534387 400
[55.8178;49.1001]	line 534384 401
[55.8209;49.0976]	line 534385 402
[55.8212;49.0934]	line 534427 403
[55.8175;49.0934]	line 534336 404
[55.8164;49.0816]	line 534294 405
[55.8193;49.082]	line 534312 406
[55.8188;49.0872]	line 534309 407
[55.8188;49.0902]	line 534310 408
[55.8188;49.0902]	line 534311 409
[55.8216;49.0796]	line 534313 410
[55.8209;49.0656]	line 534485 411
[55.8133;49.0663]	line 534293 412
[55.7386;49.2021]	line 534568 413
[55.7399;49.1987]	line 534569 414
[55.7398;49.1966]	line 534570 415
[55.7331;49.1835]	line 534381 416
[55.7311;49.1753]	line 534380 417
[55.7416;49.194]	line 534459 418
[55.7446;49.1928]	line 534482 419
[55.7476;49.1905]	line 534480 420
[55.7477;49.1883]	line 534483 421
[55.7504;49.1844]	line 534477 422
[55.7519;49.1846]	line 534476 423
[55.7637;49.184]	line 534440 424
[55.7652;49.1789]	line 534444 425
[55.7626;49.1785]	line 534435 426
[55.7612;49.1694]	line 534438 427
[55.762;49.167]	line 534434 428
[55.7626;49.1652]	line 534433 429
[55.7592;49.167]	line 534439 430
[55.7526;49.1545]	line 534366 431
[55.7455;49.1393]	line 534354 432
[55.7659;49.152]	line 534369 433
[55.7652;49.1455]	line 534370 434
[55.769;49.1453]	line 534367 435
[55.7705;49.1486]	line 534496 436
[55.7725;49.1476]	line 534348 437
[55.7749;49.1427]	line 534349 438
[55.7681;49.1348]	line 534371 439
[55.8987;49.2512]	line 583153 440
[56.0412;49.2761]	line 583152 441
[55.9893;49.3686]	line 583174 442
[55.9847;49.3681]	line 583092 443
[55.9781;49.3845]	line 583171 444
[55.9767;49.3861]	line 583168 445
[55.9767;49.3919]	line 583090 446
[55.998;49.5093]	line 583101 447
[55.755;49.2152]	line 534460 448
[55.7627;49.1936]	line 534442 449
[55.756;49.1875]	line 534484 450
[55.7464;49.1914]	line 534481 451
[55.7472;49.2008]	line 534458 452
[55.7449;49.2018]	line 534575 453
[55.7483;49.2065]	line 534572 454
[55.7475;49.207]	line 534571 455
[55.748;49.2104]	line 534573 456
[55.7454;49.215]	line 534578 457
[55.7438;49.2178]	line 534579 458
[55.7421;49.2127]	line 534574 459
[55.7426;49.2119]	line 534581 460
[55.7393;49.2135]	line 534576 461
[55.7033;49.5068]	line 583191 462
[55.7114;49.5469]	line 583102 463
[55.7134;49.5597]	line 583097 464
[55.7134;49.5597]	line 583169 465
[55.7131;49.573]	line 583100 466
[55.7128;49.5743]	line 583098 467
[55.6761;49.6661]	line 583172 468
[55.6574;49.5326]	line 583091 469
[55.6652;49.4877]	line 583079 470
[55.7484;49.2375]	line 534593 471
[55.7483;49.2311]	line 534597 472
[55.7514;49.231]	line 534596 473
[55.7543;49.2296]	line 534600 474
[55.755;49.2301]	line 534598 475
[55.7552;49.2276]	line 534595 476
[55.7463;49.2167]	line 534502 477
[55.7486;49.2143]	line 534441 478
