ID	AccountID	ProjectID	PlanID	LatLon	DepotTypeID	DepotType	Name	DepotCode	AddressDescription	Delay	CrossDockingProxy	IsDeleted	AllowKeepTrailer	UTCOffset	TimeZone	LoadStart	LoadEnd	UnloadStart	UnloadEnd	LunchStart	LunchEnd	Latitude	Longitude
647527	360	3488	34814	uc38242etxyh	1	1	АГРОТОРГ ООО	П0003795_25	,307100, Курская обл, Фатежский р-н, Фатеж г, , Восточная ул, 40, А, , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.08819808	35.86030589
647528	360	3488	34814	uc31sy3v2pku	1	1	АГРОТОРГ ООО	П0003795_125	,307177, Курская обл, , Железногорск г, , Рокоссовского ул, 7, 10, , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.33019502	35.36740003
647534	360	3488	34814	uc31u2pr8hjv	1	1	АГРОТОРГ ООО	П0003795_34	,307176, Курская обл, , Железногорск г, , Гайдара ул, 5, 5, , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.34017703	35.35298182
647535	360	3488	34814	uc31sxhm3uxg	1	1	АГРОТОРГ ООО	П0003795_73	,307170, Курская обл, , Железногорск г, , Комарова ул, 20, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.33429997	35.35992606
647544	360	3488	34814	uc31j5b1fvpy	1	1	АГРОТОРГ ООО	П0003795_115	,307150, Курская обл, Железногорский р-н, , Михайловка сл, Советская ул, 80, Б, , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.22795893	35.37610514
647562	360	3488	34814	uc1tbbfnj6jr	1	1	АГРОТОРГ ООО	П0003795_122	,307214, Курская обл, Октябрьский р-н, , Дьяконово с, Победы ул, 47, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			51.64090401	35.89531308
647565	360	3488	34814	uc1xde2xjwwd	1	1	АГРОТОРГ ООО	П0003795_160	,307116, Курская обл, Фатежский р-н, , Большое Жирово с, , 69, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			51.96244908	35.97016985
647578	360	3488	34814	uc32rfzd9k89	1	1	АГРОТОРГ ООО	П0003795_95	,307100, Курская обл, Фатежский р-н, Фатеж г, , К.Маркса ул, 39, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.09075506	35.85874284
647594	360	3488	34814	uc1k02bpkbhe	1	1	Рыбочкин Д. М.	П0006757_1	,307850, Курская обл, Большесолдатский р-н, , Большое Солдатское с, Мира ул, 1/2, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			51.33349	35.51900888
647787	360	3488	34814	uc1g3uu11wzg	1	1	Волгузов Ю. Е.	П0000998_5	,306253, Курская обл, Обоянский р-н, , Стрелецкое с, , , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.54166666666667	0.58333333333333			51.22259005	36.2934099
647807	360	3488	34814	uc0tnjgfq2sw	1	1	Шамина М. Н.	П0003908_1	,307348, Курская обл, Рыльский р-н, , Малогнеушево д, Центральная ул, , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			51.53588195	34.72222114
647822	360	3488	34814	uc1g4767vf7e	1	1	Шелёмин И. Н.	П0012077_2	,306240, Курская обл, Обоянский р-н, , Горяйново д, Горяйново ул, 42 А, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.58333333333333	0.66666666666667			51.17085292	36.31315598
647980	360	3488	34814	uc1mvh24rmmf	1	1	АГРОТОРГ ООО	П0003795_49	,307236, Курская обл, Курчатовский р-н, , Дичня с, Квартал 3 ул, 3, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			51.65950296	35.72785808
647997	360	3488	34814	uc0ve4e9yuu9	1	1	АГРОТОРГ ООО	П0003795_56	,307340, Курская обл, Рыльский р-н, , Ивановское с, Ананьева ул, 92, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			51.60585593	34.94162584
648145	360	3488	34814	uc31szs8h7pp	1	1	Сычев Г. И.	П0000450_2	,307170, Курская обл, , Железногорск г, , Мира ул, 30, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.33613796	35.37136199
649770	360	3488	34814	uc172xwp6e9m	1	1	БОЛЬШЕСОЛДАТСКОЕ  ПО	П0000195_14	,307846, Курская обл, Большесолдатский р-н, , Козыревка с, , 2, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			51.23875204	35.53813403
649771	360	3488	34814	uc33p36eggm0	1	1	Березняк Л. Н.	П0000641_2	,307120, Курская обл, Фатежский р-н, , Верхний Любаж с, Комсомольская ул, 28, а, , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.21455895	35.83001705
649774	360	3488	34814	uc32v32bwxqy	1	1	Тарасова В. И.	П0003576_1	,307121, Курская обл, Фатежский р-н, , Нижний Реут с, , , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.70833333333333			52.1700782	35.73984353
649781	360	3488	34814	uc17vm6t8sc1	1	1	Бабина З. Г.	П0006147_1	,307842, Курская обл, Большесолдатский р-н, , Любостань с, Мира ул, 5, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.625			51.31398867	35.74198158
649817	360	3488	34814	uc31sjcrz966	1	1	АГРОТОРГ ООО	П0003795_697	,307170, Курская обл, , Железногорск г, Заречный мкр, Старикова ул, 2, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.32784507	35.33407291
649829	360	3488	34814	uc1hpc9xjz58	1	1	Тандер ЗАО (оборудование)	П0000304_189	,307850, Курская обл, Большесолдатский р-н, , Большое Солдатское с, Мира ул, 3, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.875	0	0	51.33760401	35.49913773
649831	360	3488	34814	uc31u2j9yyxg	1	1	Тандер ЗАО (оборудование)	П0000304_719	,307179, Курская обл, , Железногорск г, , Юбилейная, 1, А	0.0069444444444444	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.875	0	0	52.33920305	35.35087092
649832	360	3488	34814	uc31sx1jbt02	1	1	Тандер ЗАО (оборудование)	П0000304_108	,307173, Курская обл, , Железногорск г, , Ленина ул, 38, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.875	0	0	52.33438798	35.35539916
649840	360	3488	34814	uc32rfyjdrdq	1	1	Тандер ЗАО (оборудование)	П0000304_125	,307100, Курская обл, Фатежский р-н, Фатеж г, , Загородняя ул, 24, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.875	0	0	52.09128697	35.85672816
649843	360	3488	34814	uc31u2wssd8d	1	1	Тандер ЗАО (оборудование)	П0000304_88	,307176, Курская обл, Железногорский р-н, Железногорск г, , Гайдара ул, 4, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.875	0	0	52.34240008	35.35213793
649846	360	3488	34814	uc1ezqhttmv6	1	1	Левков А. А.	00000663_1	,306230, Курская обл, Обоянский р-н, , Дрозды х, Центральная ул, 40 А, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			51.31811407	36.18439084
649854	360	3488	34814	uc1n6nntjrmt	1	1	МАЙ ООО	00000139_15	,307705, Курская обл, Льговский р-н, , Марица с, РККА ул, 35, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.54166666666667	0.58333333333333			51.75748992	35.25329987
649858	360	3488	34814	uc1m505fsh0y	1	1	ТРИ БОГАТЫРЯ ООО	П0006274_10	,307864, Курская обл, Большесолдатский р-н, , Любимовка с, Ленина ул, 20, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.29166666666667	0.91666666666667			51.50435795	35.64497111
649860	360	3488	34814	uc31s8zbx2jc	1	1	Нефтетранс ООО	П0007236_1	,307170, Курская обл, Железногорский р-н, , , трасса Тросна-Калиновка (Киевский пр-кт), , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.29912783	35.36496593
649861	360	3488	34814	uc36314kb8p7	1	1	Пискарева Н. С. (Железногорск)	П0005791_1	,307147, Курская обл, Железногорский р-н, , Магнитный п, Железнодорожная ул, 1 Б, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.875			52.43306695	35.55487907
649862	360	3488	34814	uc3631711126	1	1	Пискарева Н. С. (Железногорск)	П0005791_2	,307147, Курская обл, Железногорский р-н, , Магнитный п, Железнодорожная ул, 3, А, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.875			52.43380305	35.5559211
649864	360	3488	34814	uc32rgq2xe4t	1	1	Игуменова О. В.	00000686_1	,307100, Курская обл, Фатежский р-н, Фатеж г, , К.Маркса ул, 53, А, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.83333333333333			52.09315094	35.85729713
